DBN,sch.name,sch.pop,sch.rig.instr,sch.coll.teach,sch.support.env,sch.eff.lead,sch.fam.inv,sch.trust,sch.ela,sch.mth,sch.ell,sch.iep,sch.contained,sch.ENI,sch.tmp.hous,sch.HRA,sch.eth.aapi,sch.eth.bl,sch.eth.his,sch.eth.wh,sch.princ.yrs,sch.teach.3plus,sch.st.att,sch.abs.18plus,sch.tch.att,sch.coll.3sem,sch.grad
03M415,Wadleigh Secondary School for the Performing & Vis,227,0.79,0.81,0.71,0.86,0.98,0.86,2.82,2.45,0.022,0.211,0,0.87,0.185,0.78,0.004,0.537,0.401,0.018,1,0.813,0.867,0.444,0.983,0.407,0.89
03M417,Frank McCourt High School,413,0.81,0.85,0.69,0.87,0.87,0.88,3.25,3.23,0.029,0.213,0.007,0.49,0.039,0.361,0.046,0.136,0.46,0.3,9.1,0.815,0.914,0.231,0.958,0.859,0.97
03M479,Beacon High School,1423,0.88,0.73,0.81,0.73,0.82,0.8,3.91,3.98,0.001,0.114,0.013,0.3,0.02,0.189,0.09,0.143,0.197,0.467,15,0.912,0.968,0.054,0.974,0.837,0.98
03M485,Fiorello H. LaGuardia High School of Music & Art a,2760,0.77,0.56,0.68,0.48,0.79,0.64,3.93,4.01,0.002,0.037,0,0.3,0.014,0.192,0.195,0.099,0.179,0.455,5.9,0.911,0.949,0.106,0.958,0.887,0.99
03M492,"High School for Law, Advocacy and Community Justic",429,0.82,0.81,0.7,0.82,0.84,0.87,2.87,2.57,0.065,0.17,0,0.83,0.17,0.734,0.047,0.336,0.573,0.026,7.9,0.813,0.855,0.42,0.969,0.431,0.76
03M494,High School of Arts and Technology,492,0.61,0.59,0.56,0.7,0.83,0.82,2.66,2.45,0.087,0.252,0.026,0.85,0.167,0.748,0.063,0.319,0.553,0.039,1.1,0.583,0.811,0.519,0.97,0.371,0.68
03M541,Manhattan / Hunter Science High School,441,0.86,0.81,0.79,0.83,0.8,0.88,3.84,3.98,0,0.138,0,0.54,0.041,0.408,0.272,0.163,0.306,0.209,5.9,0.8,0.974,0.05,0.956,0.869,0.99
03M859,Special Music School,181,0.87,0.88,0.76,0.93,0.93,0.91,3.62,3.51,0.006,0.144,0.006,0.36,0.05,0.182,0.094,0.105,0.155,0.475,9.3,0.875,0.931,0.222,0.982,0.784,0.95
03M860,Frederick Douglass Academy II Secondary School,290,0.67,0.64,0.63,0.62,0.9,0.82,2.51,2.27,0.107,0.255,0.003,0.88,0.186,0.779,0.021,0.624,0.328,0.017,9,0.448,0.819,0.495,0.971,0.329,0.78
04M372,Esperanza Preparatory Academy,354,0.8,0.79,0.71,0.86,0.88,0.86,2.52,2.32,0.336,0.192,0.085,0.94,0.215,0.847,0.003,0.09,0.893,0.014,3,0.582,0.877,0.413,0.97,0.388,0.76
04M435,Manhattan Center for Science and Mathematics,1650,0.93,0.97,0.88,0.96,0.85,0.93,3.45,3.58,0.068,0.141,0.004,0.76,0.093,0.628,0.201,0.193,0.533,0.058,12.1,0.607,0.938,0.163,0.974,0.782,0.97
04M495,Park East High School,389,0.86,0.89,0.81,0.9,0.89,0.91,3.03,2.97,0.041,0.18,0,0.78,0.093,0.645,0.067,0.254,0.617,0.026,14.1,0.813,0.943,0.128,0.98,0.713,0.96
04M555,Central Park East High School,508,0.89,0.95,0.86,0.96,0.9,0.94,3.47,3.53,0.018,0.157,0.002,0.74,0.073,0.61,0.177,0.258,0.494,0.045,14.1,0.903,0.969,0.067,0.976,0.889,1
04M610,Young Women's Leadership School,314,0.87,0.93,0.78,0.95,0.89,0.94,3.28,3.18,0.016,0.178,0,0.78,0.054,0.653,0.086,0.239,0.589,0.038,0.9,0.806,0.938,0.204,0.95,0.926,0.99
04M680,"Heritage School, The",313,0.76,0.82,0.68,0.88,0.81,0.86,2.6,2.32,0.07,0.22,0,0.88,0.163,0.802,0.042,0.265,0.649,0.032,7.7,0.818,0.886,0.297,0.959,0.414,0.9
05M148,Eagle Academy for Young Men of Harlem,191,0.74,0.69,0.68,0.71,0.87,0.84,2.6,2.24,0.026,0.262,0.042,0.78,0.094,0.66,0,0.733,0.22,0.01,6.1,0.568,0.825,0.588,0.962,N<15,N<15
05M157,The Urban Assembly School for Global Commerce,250,0.63,0.6,0.65,0.68,0.9,0.81,2.57,2.27,0.1,0.276,0.036,0.92,0.144,0.84,0.012,0.492,0.456,0.028,2,0.609,0.766,0.659,0.967,0.469,0.74
